상호,위도,경도,주소_4
내트럭㈜제주사업소 ,33.498,126.58,제주특별자치도 제주시
노형주유소 ,33.484,126.48,제주특별자치도 제주시
늘푸른주유소 ,33.5,126.507,제주특별자치도 제주시
대섬주유소 ,33.535,126.625,제주특별자치도 제주시 조천읍
대은주유소 ,33.506,126.558,제주특별자치도 제주시
한수풀주유소,33.406,126.271,제주특별자치도 제주시 한림읍
대천주유소 ,33.435,126.735,제주특별자치도 제주시 구좌읍
도남주유소 ,33.491,126.527,제주특별자치도 제주시
도농주유소 ,33.493,126.438,제주특별자치도 제주시
도련주유소 ,33.511,126.579,제주특별자치도 제주시
도평주유소 ,33.481,126.445,제주특별자치도 제주시
동귀주유소 ,33.483,126.407,제주특별자치도 제주시 애월읍
외도주유소(동방주유소) ,33.492,126.424,제주특별자치도 제주시
동산주유소 ,33.481,126.495,제주특별자치도 제주시
씨제이대한통운(주)동서주유소,33.511,126.581,제주특별자치도 제주시
동아주유소 ,33.51,126.544,제주특별자치도 제주시
동일주유소 ,33.506,126.538,제주특별자치도 제주시
동화주유소 ,33.519,126.57,제주특별자치도 제주시
명지주유소 ,33.52,126.571,제주특별자치도 제주시
명품주유소 ,33.489,126.47,제주특별자치도 제주시
밝은주유소 ,33.486,126.516,제주특별자치도 제주시
백록담주유소 ,33.514,126.538,제주특별자치도 제주시
백록주유소 ,33.497,126.536,제주특별자치도 제주시
번영로주유소 ,33.486,126.601,제주특별자치도 제주시
별표주유소 ,33.493,126.501,제주특별자치도 제주시
별표주유소 도두점 ,33.494,126.468,제주특별자치도 제주시
봉개주유소 ,33.489,126.596,제주특별자치도 제주시
봉아름주유소 ,33.492,126.59,제주특별자치도 제주시
빛나는주유소 ,33.461,126.45,제주특별자치도 제주시
삼광주유소 ,33.504,126.562,제주특별자치도 제주시
삼남주유소 ,33.505,126.514,제주특별자치도 제주시
삼다주유소 ,33.493,126.488,제주특별자치도 제주시
삼성주유소 ,33.489,126.431,제주특별자치도 제주시
삼양주유소 ,33.521,126.587,제주특별자치도 제주시
삼일주유소 ,33.519,126.595,제주특별자치도 제주시
삼진주유소 ,33.504,126.501,제주특별자치도 제주시
삼화석유㈜ 삼화주유소 ,33.499,126.519,제주특별자치도 제주시
삼화석유㈜ 승민주유소 ,33.485,126.486,제주특별자치도 제주시
삼화석유㈜ 유공주유소 ,33.482,126.475,제주특별자치도 제주시
이도그린주유소 ,33.496,126.536,제주특별자치도 제주시
삼화석유㈜ 천마주유소 ,33.517,126.534,제주특별자치도 제주시
하모니주유소 ,33.515,126.559,제주특별자치도 제주시
삼화석유㈜ 행복날개주유소 ,33.505,126.497,제주특별자치도 제주시
새희망주유소 ,33.555,126.752,제주특별자치도 제주시 구좌읍
서경주유소 ,33.49,126.471,제주특별자치도 제주시
서광로주유소 ,33.5,126.509,제주특별자치도 제주시
서부관광주유소 ,33.468,126.459,제주특별자치도 제주시
성신주유소 ,33.493,126.509,제주특별자치도 제주시
성안주유소 ,33.493,126.497,제주특별자치도 제주시
고내주유소 ,33.465,126.344,제주특별자치도 제주시 애월읍
성화주유소 ,33.511,126.503,제주특별자치도 제주시
수원주유소 ,33.424,126.268,제주특별자치도 제주시 한림읍
스마트주유소 ,33.496,126.554,제주특별자치도 제주시
신도시주유소 ,33.477,126.492,제주특별자치도 제주시
신촌주유소 ,33.534,126.621,제주특별자치도 제주시 조천읍
씨티주유소 ,33.476,126.479,제주특별자치도 제주시
애월농협협동조합주유소 ,33.46,126.321,제주특별자치도 제주시 애월읍
애월주유소 ,33.463,126.329,제주특별자치도 제주시 애월읍
애조로주유소 ,33.474,126.378,제주특별자치도 제주시 애월읍
연동주유소 ,33.481,126.497,제주특별자치도 제주시
연북로주유소 ,33.484,126.536,제주특별자치도 제주시
열린주유소 ,33.46,126.538,제주특별자치도 제주시
오라주유소 ,33.492,126.513,제주특별자치도 제주시
온누리주유소 ,33.486,126.542,제주특별자치도 제주시
용담주유소 ,33.509,126.515,제주특별자치도 제주시
용호주유소 ,33.511,126.572,제주특별자치도 제주시
우리주유소 ,33.499,126.503,제주특별자치도 제주시
원남주유소 ,33.482,126.53,제주특별자치도 제주시
월산주유소 ,33.472,126.462,제주특별자치도 제주시
유성주유소 ,33.536,126.663,제주특별자치도 제주시 조천읍
유수암주유소 ,33.427,126.41,제주특별자치도 제주시 애월읍
이좋은주유소 ,33.473,126.464,제주특별자치도 제주시
인양주유소 ,33.957,126.3,제주특별자치도 제주시 추자면
일광주유소 ,33.513,126.553,제주특별자치도 제주시
일도주유소 ,33.502,126.543,제주특별자치도 제주시
해송주유소 ,33.531,126.632,제주특별자치도 제주시 조천읍
장안주유소 ,33.51,126.563,제주특별자치도 제주시
정석주유소 ,33.421,126.274,제주특별자치도 제주시 한림읍
제주시농협 남부주유소 ,33.494,126.534,제주특별자치도 제주시
제주시농협 동부주유소 ,33.494,126.587,제주특별자치도 제주시
제주시농협 서부주유소 ,33.493,126.439,제주특별자치도 제주시
제주주유소 ,33.478,126.469,제주특별자치도 제주시
조천농협유통센터주유소 ,33.531,126.621,제주특별자치도 제주시 조천읍
중앙주유소 ,33.521,126.858,제주특별자치도 제주시 구좌읍
진성주유소 ,33.372,126.211,제주특별자치도 제주시 한경면
태진주유소 ,33.493,126.472,제주특별자치도 제주시
